dataset,batch_size,scenario,mode,epoch,loss,acc
cifar100,512,0.Original,baseline,1,4.5013,0.037
cifar100,512,0.Original,baseline,2,4.2542,0.0669
cifar100,512,0.Original,baseline,3,4.1537,0.0768
cifar100,512,0.Original,baseline,4,4.077,0.0962
cifar100,512,0.Original,baseline,5,4.0081,0.0969
cifar100,512,0.Original,baseline,6,3.9447,0.11
cifar100,512,0.Original,baseline,7,3.8848,0.1156
cifar100,512,0.Original,baseline,8,3.8346,0.1233
cifar100,512,0.Original,baseline,9,3.7886,0.1292
cifar100,512,0.Original,baseline,10,3.7444,0.1344
cifar100,512,0.Original,baseline,11,3.7121,0.1384
cifar100,512,0.Original,baseline,12,3.6782,0.1477
cifar100,512,0.Original,baseline,13,3.649,0.1523
cifar100,512,0.Original,baseline,14,3.6174,0.1528
cifar100,512,0.Original,baseline,15,3.5965,0.1616
cifar100,512,0.Original,baseline,16,3.5713,0.1622
cifar100,512,0.Original,baseline,17,3.5455,0.172
cifar100,512,0.Original,baseline,18,3.5253,0.1715
cifar100,512,0.Original,baseline,19,3.5102,0.175
cifar100,512,0.Original,baseline,20,3.4867,0.1794
cifar100,512,0.Original,baseline,21,3.4731,0.1846
cifar100,512,0.Original,baseline,22,3.4568,0.1854
cifar100,512,0.Original,baseline,23,3.4421,0.1834
cifar100,512,0.Original,baseline,24,3.4217,0.1918
cifar100,512,0.Original,baseline,25,3.4116,0.1957
cifar100,512,0.Original,baseline,26,3.3987,0.1919
cifar100,512,0.Original,baseline,27,3.3858,0.2002
cifar100,512,0.Original,baseline,28,3.3769,0.1963
cifar100,512,0.Original,baseline,29,3.3567,0.2002
cifar100,512,0.Original,baseline,30,3.3478,0.2027
cifar100,512,0.Original,baseline,31,3.3339,0.2063
cifar100,512,0.Original,baseline,32,3.3247,0.211
cifar100,512,0.Original,baseline,33,3.3104,0.2084
cifar100,512,0.Original,baseline,34,3.3049,0.2123
cifar100,512,0.Original,baseline,35,3.2934,0.2197
cifar100,512,0.Original,baseline,36,3.2826,0.2145
cifar100,512,0.Original,baseline,37,3.2707,0.2238
cifar100,512,0.Original,baseline,38,3.2635,0.2202
cifar100,512,0.Original,baseline,39,3.2575,0.222
cifar100,512,0.Original,baseline,40,3.2436,0.2246
cifar100,512,0.Original,baseline,41,3.2326,0.23
cifar100,512,0.Original,baseline,42,3.2212,0.2287
cifar100,512,0.Original,baseline,43,3.2176,0.2314
cifar100,512,0.Original,baseline,44,3.2115,0.2349
cifar100,512,0.Original,baseline,45,3.2006,0.2301
cifar100,512,0.Original,baseline,46,3.1929,0.2312
cifar100,512,0.Original,baseline,47,3.1859,0.2364
cifar100,512,0.Original,baseline,48,3.1741,0.2363
cifar100,512,0.Original,baseline,49,3.1689,0.2348
cifar100,512,0.Original,baseline,50,3.1557,0.2402
cifar100,512,0.Original,baseline,51,3.1521,0.236
cifar100,512,0.Original,baseline,52,3.1453,0.2451
cifar100,512,0.Original,baseline,53,3.1377,0.2422
cifar100,512,0.Original,baseline,54,3.129,0.2424
cifar100,512,0.Original,baseline,55,3.13,0.2387
cifar100,512,0.Original,baseline,56,3.114,0.2398
cifar100,512,0.Original,baseline,57,3.1069,0.2436
cifar100,512,0.Original,baseline,58,3.1075,0.2503
cifar100,512,0.Original,baseline,59,3.0976,0.2477
cifar100,512,0.Original,baseline,60,3.0899,0.2425
cifar100,512,0.Original,baseline,61,3.086,0.2505
cifar100,512,0.Original,baseline,62,3.072,0.2506
cifar100,512,0.Original,baseline,63,3.0684,0.251
cifar100,512,0.Original,baseline,64,3.0654,0.2492
cifar100,512,0.Original,baseline,65,3.0561,0.2556
cifar100,512,0.Original,baseline,66,3.0543,0.2576
cifar100,512,0.Original,baseline,67,3.0498,0.2546
cifar100,512,0.Original,baseline,68,3.0469,0.2559
cifar100,512,0.Original,baseline,69,3.0453,0.2577
cifar100,512,0.Original,baseline,70,3.0296,0.2589
cifar100,512,0.Original,baseline,71,3.0263,0.2586
cifar100,512,0.Original,baseline,72,3.0245,0.2593
cifar100,512,0.Original,baseline,73,3.0212,0.2581
cifar100,512,0.Original,baseline,74,3.019,0.2586
cifar100,512,0.Original,baseline,75,3.0089,0.2642
cifar100,512,0.Original,baseline,76,3.0067,0.2606
cifar100,512,0.Original,baseline,77,3.0061,0.2575
cifar100,512,0.Original,baseline,78,2.9964,0.2619
cifar100,512,0.Original,baseline,79,2.995,0.2634
cifar100,512,0.Original,baseline,80,2.9909,0.2667
cifar100,512,0.Original,baseline,81,2.9854,0.2646
cifar100,512,0.Original,baseline,82,2.981,0.2627
cifar100,512,0.Original,baseline,83,2.9796,0.2692
cifar100,512,0.Original,baseline,84,2.9729,0.2652
cifar100,512,0.Original,baseline,85,2.9696,0.2699
cifar100,512,0.Original,baseline,86,2.9677,0.27
cifar100,512,0.Original,baseline,87,2.9639,0.2723
cifar100,512,0.Original,baseline,88,2.9611,0.2686
cifar100,512,0.Original,baseline,89,2.9584,0.2712
cifar100,512,0.Original,baseline,90,2.9585,0.2729
cifar100,512,0.Original,baseline,91,2.9497,0.2681
cifar100,512,0.Original,baseline,92,2.9448,0.2702
cifar100,512,0.Original,baseline,93,2.9435,0.2717
cifar100,512,0.Original,baseline,94,2.9442,0.2727
cifar100,512,0.Original,baseline,95,2.9383,0.274
cifar100,512,0.Original,baseline,96,2.9351,0.2726
cifar100,512,0.Original,baseline,97,2.937,0.2751
cifar100,512,0.Original,baseline,98,2.9338,0.279
cifar100,512,0.Original,baseline,99,2.9297,0.2755
cifar100,512,0.Original,baseline,100,2.9292,0.2784
cifar100,512,0.Original,baseline,101,2.9244,0.2796
cifar100,512,0.Original,baseline,102,2.9224,0.2778
cifar100,512,0.Original,baseline,103,2.9191,0.2762
cifar100,512,0.Original,baseline,104,2.9201,0.2776
cifar100,512,0.Original,baseline,105,2.9176,0.2722
cifar100,512,0.Original,baseline,106,2.9145,0.2782
cifar100,512,0.Original,baseline,107,2.9108,0.2787
cifar100,512,0.Original,baseline,108,2.9115,0.2809
cifar100,512,0.Original,baseline,109,2.9089,0.2795
cifar100,512,0.Original,baseline,110,2.907,0.2795
cifar100,512,0.Original,baseline,111,2.9093,0.2797
cifar100,512,0.Original,baseline,112,2.9075,0.28
cifar100,512,0.Original,baseline,113,2.9049,0.2807
cifar100,512,0.Original,baseline,114,2.9052,0.2789
cifar100,512,0.Original,baseline,115,2.8999,0.2821
cifar100,512,0.Original,baseline,116,2.8984,0.2808
cifar100,512,0.Original,baseline,117,2.8991,0.2809
cifar100,512,0.Original,baseline,118,2.8997,0.2817
cifar100,512,0.Original,baseline,119,2.8984,0.2809
cifar100,512,0.Original,baseline,120,2.8962,0.2802
cifar100,512,0.Original,baseline,121,2.8965,0.2825
cifar100,512,0.Original,baseline,122,2.8948,0.282
cifar100,512,0.Original,baseline,123,2.8947,0.2798
cifar100,512,0.Original,baseline,124,2.8927,0.2837
cifar100,512,0.Original,baseline,125,2.8909,0.2833
cifar100,512,0.Original,baseline,126,2.8913,0.2826
cifar100,512,0.Original,baseline,127,2.8911,0.2816
cifar100,512,0.Original,baseline,128,2.8882,0.2823
cifar100,512,0.Original,baseline,129,2.8901,0.2842
cifar100,512,0.Original,baseline,130,2.8862,0.2825
cifar100,512,0.Original,baseline,131,2.8895,0.2838
cifar100,512,0.Original,baseline,132,2.8883,0.2835
cifar100,512,0.Original,baseline,133,2.8854,0.2839
cifar100,512,0.Original,baseline,134,2.8867,0.284
cifar100,512,0.Original,baseline,135,2.8833,0.2836
cifar100,512,0.Original,baseline,136,2.8859,0.2845
cifar100,512,0.Original,baseline,137,2.8851,0.2847
cifar100,512,0.Original,baseline,138,2.8857,0.284
cifar100,512,0.Original,baseline,139,2.8827,0.2832
cifar100,512,0.Original,baseline,140,2.8843,0.2841
cifar100,512,0.Original,baseline,141,2.8814,0.2835
cifar100,512,0.Original,baseline,142,2.8807,0.284
cifar100,512,0.Original,baseline,143,2.8838,0.2841
cifar100,512,0.Original,baseline,144,2.8825,0.2842
cifar100,512,0.Original,baseline,145,2.8848,0.2838
cifar100,512,0.Original,baseline,146,2.8805,0.2839
cifar100,512,0.Original,baseline,147,2.881,0.2845
cifar100,512,0.Original,baseline,148,2.882,0.2841
cifar100,512,0.Original,baseline,149,2.88,0.284
cifar100,512,0.Original,baseline,150,2.8813,0.284
cifar100,512,0.Original,pfn,1,4.5362,0.0379
cifar100,512,0.Original,pfn,2,4.2749,0.0631
cifar100,512,0.Original,pfn,3,4.1439,0.0838
cifar100,512,0.Original,pfn,4,4.0604,0.0912
cifar100,512,0.Original,pfn,5,3.9812,0.1057
cifar100,512,0.Original,pfn,6,3.9129,0.1065
cifar100,512,0.Original,pfn,7,3.8449,0.1193
cifar100,512,0.Original,pfn,8,3.786,0.1246
cifar100,512,0.Original,pfn,9,3.7258,0.1339
cifar100,512,0.Original,pfn,10,3.6715,0.1462
cifar100,512,0.Original,pfn,11,3.6268,0.1556
cifar100,512,0.Original,pfn,12,3.585,0.174
cifar100,512,0.Original,pfn,13,3.5433,0.1646
cifar100,512,0.Original,pfn,14,3.5074,0.1785
cifar100,512,0.Original,pfn,15,3.4749,0.1859
cifar100,512,0.Original,pfn,16,3.4429,0.1876
cifar100,512,0.Original,pfn,17,3.4167,0.1908
cifar100,512,0.Original,pfn,18,3.3904,0.1962
cifar100,512,0.Original,pfn,19,3.3638,0.2097
cifar100,512,0.Original,pfn,20,3.3417,0.2054
cifar100,512,0.Original,pfn,21,3.3198,0.2113
cifar100,512,0.Original,pfn,22,3.2949,0.2147
cifar100,512,0.Original,pfn,23,3.2758,0.2158
cifar100,512,0.Original,pfn,24,3.249,0.2213
cifar100,512,0.Original,pfn,25,3.2326,0.2257
cifar100,512,0.Original,pfn,26,3.2129,0.2305
cifar100,512,0.Original,pfn,27,3.1937,0.2324
cifar100,512,0.Original,pfn,28,3.1791,0.2289
cifar100,512,0.Original,pfn,29,3.1605,0.2338
cifar100,512,0.Original,pfn,30,3.1397,0.2349
cifar100,512,0.Original,pfn,31,3.1159,0.2464
cifar100,512,0.Original,pfn,32,3.1019,0.2438
cifar100,512,0.Original,pfn,33,3.0819,0.2473
cifar100,512,0.Original,pfn,34,3.0646,0.2563
cifar100,512,0.Original,pfn,35,3.051,0.2578
cifar100,512,0.Original,pfn,36,3.0412,0.2565
cifar100,512,0.Original,pfn,37,3.0312,0.2615
cifar100,512,0.Original,pfn,38,3.0128,0.2574
cifar100,512,0.Original,pfn,39,2.9947,0.2616
cifar100,512,0.Original,pfn,40,2.9737,0.2685
cifar100,512,0.Original,pfn,41,2.9526,0.274
cifar100,512,0.Original,pfn,42,2.932,0.2632
cifar100,512,0.Original,pfn,43,2.9178,0.2809
cifar100,512,0.Original,pfn,44,2.9033,0.2847
cifar100,512,0.Original,pfn,45,2.8878,0.2807
cifar100,512,0.Original,pfn,46,2.88,0.2871
cifar100,512,0.Original,pfn,47,2.8559,0.2733
cifar100,512,0.Original,pfn,48,2.8521,0.282
cifar100,512,0.Original,pfn,49,2.8308,0.29
cifar100,512,0.Original,pfn,50,2.8186,0.2949
cifar100,512,0.Original,pfn,51,2.8057,0.297
cifar100,512,0.Original,pfn,52,2.7859,0.2995
cifar100,512,0.Original,pfn,53,2.7735,0.3009
cifar100,512,0.Original,pfn,54,2.7564,0.2958
cifar100,512,0.Original,pfn,55,2.7536,0.3055
cifar100,512,0.Original,pfn,56,2.7401,0.3055
cifar100,512,0.Original,pfn,57,2.7316,0.308
cifar100,512,0.Original,pfn,58,2.7059,0.3054
cifar100,512,0.Original,pfn,59,2.712,0.3127
cifar100,512,0.Original,pfn,60,2.699,0.3036
cifar100,512,0.Original,pfn,61,2.6833,0.3152
cifar100,512,0.Original,pfn,62,2.6811,0.3244
cifar100,512,0.Original,pfn,63,2.6634,0.3209
cifar100,512,0.Original,pfn,64,2.6494,0.3226
cifar100,512,0.Original,pfn,65,2.6414,0.3239
cifar100,512,0.Original,pfn,66,2.633,0.3182
cifar100,512,0.Original,pfn,67,2.6261,0.3195
cifar100,512,0.Original,pfn,68,2.6128,0.3207
cifar100,512,0.Original,pfn,69,2.6003,0.3288
cifar100,512,0.Original,pfn,70,2.5959,0.326
cifar100,512,0.Original,pfn,71,2.5834,0.328
cifar100,512,0.Original,pfn,72,2.5752,0.3257
cifar100,512,0.Original,pfn,73,2.5675,0.335
cifar100,512,0.Original,pfn,74,2.55,0.3448
cifar100,512,0.Original,pfn,75,2.5452,0.3366
cifar100,512,0.Original,pfn,76,2.5422,0.3408
cifar100,512,0.Original,pfn,77,2.5324,0.3459
cifar100,512,0.Original,pfn,78,2.5191,0.3396
cifar100,512,0.Original,pfn,79,2.5177,0.3395
cifar100,512,0.Original,pfn,80,2.5059,0.3483
cifar100,512,0.Original,pfn,81,2.4979,0.3454
cifar100,512,0.Original,pfn,82,2.4937,0.3444
cifar100,512,0.Original,pfn,83,2.4855,0.3494
cifar100,512,0.Original,pfn,84,2.4739,0.3556
cifar100,512,0.Original,pfn,85,2.4683,0.354
cifar100,512,0.Original,pfn,86,2.4561,0.3491
cifar100,512,0.Original,pfn,87,2.4548,0.3562
cifar100,512,0.Original,pfn,88,2.445,0.3609
cifar100,512,0.Original,pfn,89,2.4364,0.3537
cifar100,512,0.Original,pfn,90,2.4243,0.3557
cifar100,512,0.Original,pfn,91,2.4222,0.3552
cifar100,512,0.Original,pfn,92,2.408,0.3642
cifar100,512,0.Original,pfn,93,2.4073,0.3599
cifar100,512,0.Original,pfn,94,2.4043,0.3603
cifar100,512,0.Original,pfn,95,2.3997,0.3626
cifar100,512,0.Original,pfn,96,2.3909,0.3693
cifar100,512,0.Original,pfn,97,2.3802,0.3627
cifar100,512,0.Original,pfn,98,2.3785,0.3737
cifar100,512,0.Original,pfn,99,2.3656,0.3673
cifar100,512,0.Original,pfn,100,2.3671,0.3673
cifar100,512,0.Original,pfn,101,2.3548,0.3737
cifar100,512,0.Original,pfn,102,2.3459,0.3726
cifar100,512,0.Original,pfn,103,2.3543,0.3748
cifar100,512,0.Original,pfn,104,2.3323,0.3691
cifar100,512,0.Original,pfn,105,2.3237,0.3714
cifar100,512,0.Original,pfn,106,2.3296,0.3766
cifar100,512,0.Original,pfn,107,2.3183,0.38
cifar100,512,0.Original,pfn,108,2.3161,0.3796
cifar100,512,0.Original,pfn,109,2.3084,0.3844
cifar100,512,0.Original,pfn,110,2.3003,0.3776
cifar100,512,0.Original,pfn,111,2.2906,0.378
cifar100,512,0.Original,pfn,112,2.29,0.3819
cifar100,512,0.Original,pfn,113,2.2877,0.3865
cifar100,512,0.Original,pfn,114,2.2789,0.3893
cifar100,512,0.Original,pfn,115,2.2655,0.3904
cifar100,512,0.Original,pfn,116,2.2638,0.3832
cifar100,512,0.Original,pfn,117,2.264,0.3921
cifar100,512,0.Original,pfn,118,2.2533,0.3954
cifar100,512,0.Original,pfn,119,2.2476,0.3924
cifar100,512,0.Original,pfn,120,2.2402,0.3863
cifar100,512,0.Original,pfn,121,2.2396,0.3896
cifar100,512,0.Original,pfn,122,2.2318,0.3959
cifar100,512,0.Original,pfn,123,2.22,0.3973
cifar100,512,0.Original,pfn,124,2.2276,0.3954
cifar100,512,0.Original,pfn,125,2.2204,0.3989
cifar100,512,0.Original,pfn,126,2.21,0.3978
cifar100,512,0.Original,pfn,127,2.1994,0.3918
cifar100,512,0.Original,pfn,128,2.2037,0.3969
cifar100,512,0.Original,pfn,129,2.1956,0.4002
cifar100,512,0.Original,pfn,130,2.1893,0.4025
cifar100,512,0.Original,pfn,131,2.1823,0.394
cifar100,512,0.Original,pfn,132,2.1815,0.4046
cifar100,512,0.Original,pfn,133,2.1764,0.4124
cifar100,512,0.Original,pfn,134,2.1669,0.4081
cifar100,512,0.Original,pfn,135,2.1629,0.4026
cifar100,512,0.Original,pfn,136,2.1597,0.4077
cifar100,512,0.Original,pfn,137,2.1585,0.4074
cifar100,512,0.Original,pfn,138,2.1565,0.4085
cifar100,512,0.Original,pfn,139,2.1506,0.4092
cifar100,512,0.Original,pfn,140,2.1401,0.4138
cifar100,512,0.Original,pfn,141,2.142,0.4168
cifar100,512,0.Original,pfn,142,2.1355,0.4051
cifar100,512,0.Original,pfn,143,2.1273,0.4111
cifar100,512,0.Original,pfn,144,2.1213,0.4176
cifar100,512,0.Original,pfn,145,2.1188,0.414
cifar100,512,0.Original,pfn,146,2.1137,0.4166
cifar100,512,0.Original,pfn,147,2.0984,0.4183
cifar100,512,0.Original,pfn,148,2.0929,0.4218
cifar100,512,0.Original,pfn,149,2.0861,0.4218
cifar100,512,0.Original,pfn,150,2.0737,0.4232
cifar100,512,1.Bottleneck,baseline,1,4.564,0.022
cifar100,512,1.Bottleneck,baseline,2,4.3266,0.0409
cifar100,512,1.Bottleneck,baseline,3,4.1872,0.0628
cifar100,512,1.Bottleneck,baseline,4,4.083,0.081
cifar100,512,1.Bottleneck,baseline,5,4.0158,0.0942
cifar100,512,1.Bottleneck,baseline,6,3.9638,0.0926
cifar100,512,1.Bottleneck,baseline,7,3.9233,0.1026
cifar100,512,1.Bottleneck,baseline,8,3.8816,0.1128
cifar100,512,1.Bottleneck,baseline,9,3.8507,0.1161
cifar100,512,1.Bottleneck,baseline,10,3.8224,0.1241
cifar100,512,1.Bottleneck,baseline,11,3.7896,0.1277
cifar100,512,1.Bottleneck,baseline,12,3.7638,0.1316
cifar100,512,1.Bottleneck,baseline,13,3.7384,0.1378
cifar100,512,1.Bottleneck,baseline,14,3.7165,0.1371
cifar100,512,1.Bottleneck,baseline,15,3.6975,0.1447
cifar100,512,1.Bottleneck,baseline,16,3.6718,0.1437
cifar100,512,1.Bottleneck,baseline,17,3.656,0.155
cifar100,512,1.Bottleneck,baseline,18,3.6386,0.1583
cifar100,512,1.Bottleneck,baseline,19,3.6255,0.1533
cifar100,512,1.Bottleneck,baseline,20,3.6114,0.1613
