dataset,batch_size,scenario,mode,epoch,loss,acc
cifar10,256,0.Original,baseline,1,1.7418,0.4285
cifar10,256,0.Original,baseline,2,1.4593,0.4942
cifar10,256,0.Original,baseline,3,1.343,0.511
cifar10,256,0.Original,baseline,4,1.2713,0.5592
cifar10,256,0.Original,baseline,5,1.2122,0.5624
cifar10,256,0.Original,baseline,6,1.1745,0.5868
cifar10,256,0.Original,baseline,7,1.1387,0.5661
cifar10,256,0.Original,baseline,8,1.1095,0.5824
cifar10,256,0.Original,baseline,9,1.0866,0.5957
cifar10,256,0.Original,baseline,10,1.064,0.6234
cifar10,256,0.Original,baseline,11,1.0456,0.6332
cifar10,256,0.Original,baseline,12,1.0272,0.6394
cifar10,256,0.Original,baseline,13,1.0061,0.6451
cifar10,256,0.Original,baseline,14,0.9883,0.6448
cifar10,256,0.Original,baseline,15,0.9793,0.6455
cifar10,256,0.Original,baseline,16,0.9653,0.6382
cifar10,256,0.Original,baseline,17,0.9545,0.6341
cifar10,256,0.Original,baseline,18,0.9383,0.6574
cifar10,256,0.Original,baseline,19,0.9309,0.6635
cifar10,256,0.Original,baseline,20,0.9166,0.6642
cifar10,256,0.Original,baseline,21,0.9133,0.6629
cifar10,256,0.Original,baseline,22,0.9026,0.6831
cifar10,256,0.Original,baseline,23,0.8937,0.6756
cifar10,256,0.Original,baseline,24,0.8878,0.6792
cifar10,256,0.Original,baseline,25,0.8795,0.6762
cifar10,256,0.Original,baseline,26,0.8729,0.678
cifar10,256,0.Original,baseline,27,0.8603,0.6913
cifar10,256,0.Original,baseline,28,0.8581,0.6836
cifar10,256,0.Original,baseline,29,0.8525,0.6871
cifar10,256,0.Original,baseline,30,0.8472,0.6859
cifar10,256,0.Original,baseline,31,0.8413,0.6954
cifar10,256,0.Original,baseline,32,0.839,0.6996
cifar10,256,0.Original,baseline,33,0.8328,0.6956
cifar10,256,0.Original,baseline,34,0.8281,0.6994
cifar10,256,0.Original,baseline,35,0.8256,0.7009
cifar10,256,0.Original,baseline,36,0.8217,0.7019
cifar10,256,0.Original,baseline,37,0.8185,0.7022
cifar10,256,0.Original,baseline,38,0.8148,0.7004
cifar10,256,0.Original,baseline,39,0.8141,0.7061
cifar10,256,0.Original,baseline,40,0.8134,0.706
cifar10,256,0.Original,baseline,41,0.8095,0.7095
cifar10,256,0.Original,baseline,42,0.8089,0.7078
cifar10,256,0.Original,baseline,43,0.8073,0.7109
cifar10,256,0.Original,baseline,44,0.8053,0.7092
cifar10,256,0.Original,baseline,45,0.8032,0.7089
cifar10,256,0.Original,baseline,46,0.8034,0.7084
cifar10,256,0.Original,baseline,47,0.8018,0.7106
cifar10,256,0.Original,baseline,48,0.801,0.7098
cifar10,256,0.Original,baseline,49,0.8016,0.7106
cifar10,256,0.Original,baseline,50,0.8037,0.7098
cifar10,256,0.Original,baseline,51,0.8014,0.7113
cifar10,256,0.Original,baseline,52,0.8009,0.7097
cifar10,256,0.Original,baseline,53,0.8032,0.7101
cifar10,256,0.Original,baseline,54,0.804,0.7108
cifar10,256,0.Original,baseline,55,0.8006,0.7099
cifar10,256,0.Original,baseline,56,0.8017,0.7088
cifar10,256,0.Original,baseline,57,0.8037,0.7087
cifar10,256,0.Original,baseline,58,0.8017,0.7104
cifar10,256,0.Original,baseline,59,0.802,0.7089
cifar10,256,0.Original,baseline,60,0.8,0.7114
cifar10,256,0.Original,baseline,61,0.8035,0.7103
cifar10,256,0.Original,baseline,62,0.8067,0.7108
cifar10,256,0.Original,baseline,63,0.8033,0.7112
cifar10,256,0.Original,baseline,64,0.8029,0.7088
cifar10,256,0.Original,baseline,65,0.8035,0.7084
cifar10,256,0.Original,baseline,66,0.8044,0.7088
cifar10,256,0.Original,baseline,67,0.8005,0.7064
cifar10,256,0.Original,baseline,68,0.8003,0.6918
cifar10,256,0.Original,baseline,69,0.7995,0.7004
cifar10,256,0.Original,baseline,70,0.796,0.7103
cifar10,256,0.Original,baseline,71,0.7965,0.7095
cifar10,256,0.Original,baseline,72,0.8,0.7073
cifar10,256,0.Original,baseline,73,0.7937,0.708
cifar10,256,0.Original,baseline,74,0.79,0.7133
cifar10,256,0.Original,baseline,75,0.7898,0.706
cifar10,256,0.Original,baseline,76,0.7902,0.703
cifar10,256,0.Original,baseline,77,0.7843,0.7024
cifar10,256,0.Original,baseline,78,0.7822,0.7083
cifar10,256,0.Original,baseline,79,0.7822,0.7102
cifar10,256,0.Original,baseline,80,0.7795,0.6965
cifar10,256,0.Original,baseline,81,0.7722,0.7057
cifar10,256,0.Original,baseline,82,0.7727,0.6722
cifar10,256,0.Original,baseline,83,0.7713,0.6923
cifar10,256,0.Original,baseline,84,0.7665,0.71
cifar10,256,0.Original,baseline,85,0.7598,0.7036
cifar10,256,0.Original,baseline,86,0.7594,0.712
cifar10,256,0.Original,baseline,87,0.7564,0.6754
cifar10,256,0.Original,baseline,88,0.7512,0.7247
cifar10,256,0.Original,baseline,89,0.7475,0.7135
cifar10,256,0.Original,baseline,90,0.745,0.717
cifar10,256,0.Original,baseline,91,0.7443,0.6655
cifar10,256,0.Original,baseline,92,0.738,0.7178
cifar10,256,0.Original,baseline,93,0.7309,0.6716
cifar10,256,0.Original,baseline,94,0.7285,0.6954
cifar10,256,0.Original,baseline,95,0.7239,0.7131
cifar10,256,0.Original,baseline,96,0.717,0.7223
cifar10,256,0.Original,baseline,97,0.7154,0.7225
cifar10,256,0.Original,baseline,98,0.7117,0.7271
cifar10,256,0.Original,baseline,99,0.7057,0.7191
cifar10,256,0.Original,baseline,100,0.7038,0.7158
cifar10,256,0.Original,pfn,51,0.6507,0.7554
cifar10,256,0.Original,pfn,52,0.6556,0.7546
cifar10,256,0.Original,pfn,53,0.7186,0.7338
cifar10,256,0.Original,pfn,54,0.6974,0.7184
cifar10,256,0.Original,pfn,55,0.6837,0.7356
