dataset,epoch,batch_size,condition_code,condition_name,summary_source,baseline_final,pfn_final,baseline_acc_1,baseline_acc_2,baseline_acc_3,baseline_acc_4,baseline_acc_5,baseline_acc_6,baseline_acc_7,baseline_acc_8,baseline_acc_9,baseline_acc_10,baseline_acc_11,baseline_acc_12,baseline_acc_13,baseline_acc_14,baseline_acc_15,baseline_acc_16,baseline_acc_17,baseline_acc_18,baseline_acc_19,baseline_acc_20,pfn_acc_1,pfn_acc_2,pfn_acc_3,pfn_acc_4,pfn_acc_5,pfn_acc_6,pfn_acc_7,pfn_acc_8,pfn_acc_9,pfn_acc_10,pfn_acc_11,pfn_acc_12,pfn_acc_13,pfn_acc_14,pfn_acc_15,pfn_acc_16,pfn_acc_17,pfn_acc_18,pfn_acc_19,pfn_acc_20
mnist,20,2048,0,Original,mnist_FULL_20251231_231122\summary.json,0.9799,0.9828,0.9136,0.9406,0.9546,0.9637,0.9694,0.9716,0.9738,0.9767,0.9763,0.9767,0.9783,0.9786,0.9794,0.9795,0.9802,0.9802,0.9802,0.9803,0.9797,0.9799,0.9048,0.9576,0.9696,0.9738,0.9764,0.9781,0.9805,0.98,0.9809,0.9809,0.9819,0.9821,0.9813,0.9793,0.9825,0.9795,0.9816,0.981,0.9832,0.9828
mnist,20,2048,1,Bottleneck,mnist_FULL_20251231_231122\summary.json,0.9714,0.9805,0.7701,0.8894,0.9223,0.9375,0.9487,0.9548,0.9585,0.9621,0.9627,0.9649,0.9677,0.9683,0.9692,0.9705,0.9707,0.9714,0.9716,0.9722,0.9715,0.9714,0.7208,0.891,0.9301,0.9515,0.9596,0.9679,0.9688,0.9734,0.9745,0.977,0.9752,0.9775,0.9772,0.9752,0.9784,0.9783,0.9797,0.9769,0.9783,0.9805
mnist,20,2048,2,Deep,mnist_FULL_20251231_231122\summary.json,0.9506,0.9481,0.3093,0.6532,0.8077,0.8752,0.8974,0.9192,0.9215,0.9305,0.9362,0.9422,0.9441,0.9466,0.9472,0.9482,0.9497,0.9497,0.9504,0.95,0.9506,0.9506,0.2188,0.4245,0.6133,0.7124,0.8205,0.8265,0.8785,0.8992,0.9046,0.9205,0.9258,0.9321,0.9359,0.9277,0.9448,0.947,0.9449,0.9445,0.9514,0.9481
mnist,20,2048,3,Noisy,mnist_FULL_20251231_231122\summary.json,0.8692,0.8708,0.672,0.7229,0.7345,0.7578,0.7903,0.8077,0.8208,0.8316,0.8392,0.8489,0.8548,0.8582,0.8612,0.8657,0.8671,0.8682,0.8688,0.8687,0.8691,0.8692,0.6701,0.7146,0.7528,0.7826,0.8014,0.8143,0.8212,0.8324,0.841,0.8479,0.8549,0.8602,0.8644,0.8669,0.8675,0.8688,0.8694,0.87,0.8705,0.8708
cifar100,100,512,0,Original,results_20260102_124041\cifar100_e100_b512\summary.json,0.2511,0.3792,0.0376,0.1124,0.1452,0.1645,0.1852,0.2014,0.2114,0.2266,0.229,0.2317,0.2401,0.2426,0.2463,0.2449,0.2493,0.2522,0.2507,0.2508,0.2508,0.2511,0.0433,0.1069,0.1546,0.1851,0.2056,0.2234,0.2311,0.2503,0.2545,0.278,0.2935,0.2985,0.3111,0.3231,0.3316,0.3324,0.3532,0.3518,0.3597,0.3792
cifar100,100,512,1,Bottleneck,results_20260102_124041\cifar100_e100_b512\summary.json,0.2366,0.2699,0.0286,0.0793,0.1094,0.1319,0.1492,0.1682,0.1806,0.1934,0.2014,0.2064,0.2167,0.2165,0.221,0.2302,0.2311,0.232,0.2346,0.237,0.2369,0.2366,0.0231,0.1019,0.1284,0.1434,0.1664,0.1795,0.1948,0.2021,0.2107,0.2243,0.2293,0.2312,0.2417,0.2459,0.2515,0.2556,0.2591,0.2637,0.2708,0.2699
cifar100,100,512,2,Deep,results_20260102_124041\cifar100_e100_b512\summary.json,0.4603,0.5205,0.01,0.0921,0.1839,0.243,0.2711,0.3091,0.3415,0.3678,0.3934,0.4046,0.4126,0.4283,0.4396,0.442,0.4516,0.4575,0.4587,0.458,0.4613,0.4603,0.0168,0.1122,0.1948,0.2686,0.3161,0.3555,0.3928,0.4042,0.4272,0.4443,0.4587,0.4775,0.4796,0.4918,0.4918,0.5005,0.5056,0.5033,0.5065,0.5205
cifar100,100,512,3,Noisy,results_20260102_124041\cifar100_e100_b512\summary.json,0.2511,0.2731,0.0376,0.1124,0.1452,0.1645,0.1852,0.2014,0.2114,0.2266,0.229,0.2317,0.2401,0.2426,0.2463,0.2449,0.2493,0.2522,0.2507,0.2508,0.2508,0.2511,0.0357,0.0781,0.1139,0.1315,0.1598,0.1781,0.1874,0.2058,0.2105,0.2244,0.2288,0.2374,0.24,0.2487,0.2425,0.2601,0.2659,0.272,0.2663,0.2731
cifar100,100,256,0,Original,results_20260102_095631\cifar100_e100_b256\summary.json,0.2944,0.4315,0.0559,0.1305,0.1624,0.192,0.2123,0.2253,0.2368,0.2581,0.2636,0.2684,0.2725,0.2794,0.2827,0.2879,0.2878,0.2921,0.2929,0.2942,0.2953,0.2944,0.0509,0.1472,0.1879,0.2159,0.2523,0.287,0.313,0.3186,0.3332,0.341,0.3591,0.3653,0.376,0.3824,0.3984,0.404,0.405,0.4113,0.4219,0.4315
cifar100,100,256,1,Bottleneck,results_20260102_095631\cifar100_e100_b256\summary.json,0.2594,0.3132,0.0347,0.1209,0.1483,0.1755,0.1821,0.197,0.2115,0.2168,0.2267,0.2308,0.2407,0.2434,0.2463,0.2537,0.2559,0.2593,0.2566,0.258,0.2597,0.2594,0.0328,0.1154,0.1547,0.1775,0.1911,0.211,0.2173,0.2293,0.2411,0.2454,0.2579,0.2627,0.2746,0.2717,0.2844,0.2928,0.2958,0.3003,0.3057,0.3132
cifar100,100,256,2,Deep,results_20260102_095631\cifar100_e100_b256\summary.json,0.546,0.544,0.0312,0.193,0.2915,0.3554,0.4015,0.4438,0.4729,0.4931,0.4957,0.5114,0.528,0.5277,0.5326,0.5352,0.5393,0.5433,0.542,0.5414,0.5463,0.546,0.01,0.1504,0.2457,0.297,0.3433,0.3911,0.4227,0.4442,0.4709,0.489,0.4897,0.497,0.5046,0.5131,0.5133,0.5256,0.5258,0.5332,0.5364,0.544
cifar100,100,256,3,Noisy,results_20260102_095631\cifar100_e100_b256\summary.json,0.2944,0.3445,0.0559,0.1305,0.1624,0.192,0.2123,0.2253,0.2368,0.2581,0.2636,0.2684,0.2725,0.2794,0.2827,0.2879,0.2878,0.2921,0.2929,0.2942,0.2953,0.2944,0.0373,0.1016,0.1383,0.1641,0.1914,0.2044,0.2109,0.2299,0.2345,0.2536,0.2693,0.2829,0.2984,0.298,0.3086,0.312,0.3221,0.3291,0.3364,0.3445
cifar100,100,128,0,Original,results_20260102_070855\cifar100_e100_b128\summary.json,0.3423,0.4845,0.0726,0.1488,0.1929,0.2188,0.2393,0.2664,0.2859,0.2937,0.3082,0.3094,0.3221,0.3228,0.3308,0.3351,0.336,0.3422,0.3428,0.3416,0.3424,0.3423,0.0614,0.1711,0.2191,0.2737,0.3081,0.3528,0.3775,0.3783,0.3948,0.405,0.4252,0.4319,0.4459,0.4567,0.4528,0.4606,0.462,0.4758,0.4826,0.4845
cifar100,100,128,1,Bottleneck,results_20260102_070855\cifar100_e100_b128\summary.json,0.2318,0.01,0.0401,0.0882,0.1193,0.142,0.1527,0.1748,0.1874,0.1945,0.2022,0.2059,0.2169,0.2216,0.2228,0.2248,0.2251,0.2314,0.2319,0.229,0.2315,0.2318,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cifar100,100,128,2,Deep,results_20260102_070855\cifar100_e100_b128\summary.json,0.5454,0.5457,0.0285,0.1857,0.2908,0.3507,0.4028,0.4512,0.4599,0.4951,0.5065,0.5184,0.5275,0.5236,0.5327,0.5357,0.5392,0.5445,0.5437,0.5449,0.5439,0.5454,0.0266,0.1852,0.2668,0.3281,0.3714,0.4153,0.4249,0.4607,0.4682,0.4905,0.4973,0.4985,0.5036,0.5186,0.5185,0.5249,0.5271,0.5301,0.5357,0.5457
cifar100,100,128,3,Noisy,results_20260102_070855\cifar100_e100_b128\summary.json,0.3423,0.383,0.0726,0.1488,0.1929,0.2188,0.2393,0.2664,0.2859,0.2937,0.3082,0.3094,0.3221,0.3228,0.3308,0.3351,0.336,0.3422,0.3428,0.3416,0.3424,0.3423,0.0449,0.1304,0.1718,0.1939,0.2165,0.2416,0.2505,0.2599,0.2857,0.2967,0.3149,0.3316,0.3276,0.347,0.358,0.3597,0.3691,0.3647,0.3782,0.383
cifar10,50,512,1,Bottleneck,results_20260102_054632\cifar10_e50_b512\summary.json,0.4443,0.4769,0.2931,0.3619,0.3783,0.3952,0.4005,0.4086,0.4096,0.4161,0.4216,0.4285,0.4297,0.4347,0.437,0.4429,0.4432,0.4386,0.4438,0.4447,0.4458,0.4443,0.2803,0.3394,0.3848,0.3973,0.4139,0.4117,0.4282,0.435,0.4429,0.4406,0.4516,0.4558,0.4588,0.4607,0.4635,0.4695,0.4681,0.4711,0.4727,0.4769
cifar10,50,512,2,Deep,results_20260102_054632\cifar10_e50_b512\summary.json,0.7498,0.7781,0.2806,0.4122,0.4684,0.5242,0.5764,0.6065,0.6468,0.6666,0.6828,0.7066,0.7119,0.7148,0.7261,0.7331,0.7432,0.7435,0.7483,0.7465,0.7502,0.7498,0.2515,0.316,0.457,0.5093,0.5516,0.5859,0.6317,0.6556,0.6725,0.6999,0.7049,0.7087,0.7314,0.7412,0.7515,0.751,0.7617,0.7657,0.7702,0.7781
cifar10,50,512,3,Noisy,results_20260102_054632\cifar10_e50_b512\summary.json,0.5102,0.2838,0.2815,0.3575,0.4121,0.4264,0.4479,0.4557,0.4685,0.4735,0.486,0.4858,0.4965,0.5027,0.5019,0.5058,0.5081,0.5102,0.5098,0.5101,0.5101,0.5102,0.1067,0.1567,0.1912,0.2116,0.2382,0.2379,0.252,0.2548,0.2672,0.2642,0.2697,0.2743,0.2755,0.2817,0.2831,0.2828,0.2843,0.2838,0.2842,0.2838
cifar10,50,256,0,Original,results_20260102_042551\cifar10_e50_b256\summary.json,0.5486,0.645,0.3271,0.3892,0.4288,0.4545,0.4711,0.4874,0.5002,0.5137,0.519,0.5095,0.5213,0.5342,0.5381,0.541,0.5469,0.5474,0.5453,0.5481,0.5488,0.5486,0.3167,0.3951,0.4608,0.4904,0.5124,0.5267,0.5549,0.568,0.5837,0.5893,0.5896,0.5859,0.597,0.6104,0.6149,0.616,0.6275,0.6378,0.6354,0.645
cifar10,50,256,1,Bottleneck,results_20260102_042551\cifar10_e50_b256\summary.json,0.4978,0.5061,0.2905,0.3763,0.4257,0.4436,0.4516,0.4647,0.4693,0.4759,0.4798,0.4822,0.4875,0.4917,0.4937,0.4942,0.4911,0.4983,0.4971,0.4968,0.4974,0.4978,0.2783,0.3583,0.3823,0.4003,0.4015,0.428,0.4277,0.4431,0.4408,0.4557,0.4755,0.4744,0.4815,0.4797,0.4874,0.4971,0.4968,0.4934,0.5029,0.5061
cifar10,50,256,2,Deep,results_20260102_042551\cifar10_e50_b256\summary.json,0.7859,0.8469,0.2321,0.4098,0.4991,0.5521,0.6025,0.6438,0.6661,0.6969,0.6958,0.7301,0.7445,0.7556,0.7629,0.7622,0.767,0.776,0.7807,0.7836,0.7869,0.7859,0.2895,0.4192,0.518,0.5995,0.6424,0.6628,0.7215,0.7555,0.769,0.766,0.7991,0.8059,0.8205,0.8185,0.8291,0.8376,0.8375,0.8441,0.8415,0.8469
