dataset,epoch,batch_size,condition_code,condition_name,summary_source,baseline_final,pfn_final,baseline_acc_1,baseline_acc_2,baseline_acc_3,baseline_acc_4,baseline_acc_5,baseline_acc_6,baseline_acc_7,baseline_acc_8,baseline_acc_9,baseline_acc_10,baseline_acc_11,baseline_acc_12,baseline_acc_13,baseline_acc_14,baseline_acc_15,baseline_acc_16,baseline_acc_17,baseline_acc_18,baseline_acc_19,baseline_acc_20,pfn_acc_1,pfn_acc_2,pfn_acc_3,pfn_acc_4,pfn_acc_5,pfn_acc_6,pfn_acc_7,pfn_acc_8,pfn_acc_9,pfn_acc_10,pfn_acc_11,pfn_acc_12,pfn_acc_13,pfn_acc_14,pfn_acc_15,pfn_acc_16,pfn_acc_17,pfn_acc_18,pfn_acc_19,pfn_acc_20
cifar10,50,256,3,Noisy,results_20260102_042551\cifar10_e50_b256\summary.json,0.5486,0.3208,0.3271,0.3892,0.4288,0.4545,0.4711,0.4874,0.5002,0.5137,0.519,0.5095,0.5213,0.5342,0.5381,0.541,0.5469,0.5474,0.5453,0.5481,0.5488,0.5486,0.1505,0.2,0.2177,0.2398,0.2429,0.2648,0.2856,0.2897,0.2906,0.2919,0.3042,0.3069,0.3151,0.3136,0.3163,0.3221,0.3178,0.321,0.3207,0.3208
cifar10,50,128,0,Original,results_20260102_030320\cifar10_e50_b128\summary.json,0.5948,0.6918,0.3489,0.4184,0.4641,0.4893,0.5004,0.5296,0.5487,0.5617,0.5515,0.5576,0.5693,0.5794,0.5776,0.5918,0.5823,0.5961,0.5895,0.5947,0.5955,0.5948,0.3375,0.4067,0.472,0.5029,0.5409,0.5561,0.5892,0.6077,0.6021,0.613,0.6257,0.6271,0.6405,0.6568,0.6556,0.6566,0.6652,0.6717,0.6833,0.6918
cifar10,50,128,1,Bottleneck,results_20260102_030320\cifar10_e50_b128\summary.json,0.5154,0.598,0.3208,0.3731,0.4009,0.4172,0.4395,0.4524,0.4617,0.4816,0.477,0.4932,0.4934,0.4995,0.5068,0.5058,0.5114,0.5134,0.5135,0.5137,0.515,0.5154,0.2642,0.3329,0.4202,0.4546,0.4714,0.4924,0.5069,0.5185,0.5309,0.5464,0.5504,0.5438,0.5522,0.5713,0.5765,0.5771,0.5921,0.5947,0.5839,0.598
cifar10,50,128,2,Deep,results_20260102_030320\cifar10_e50_b128\summary.json,0.8477,0.8612,0.2565,0.4435,0.5992,0.6283,0.7087,0.716,0.7603,0.7825,0.7945,0.8082,0.8192,0.8252,0.8283,0.8405,0.842,0.8457,0.8447,0.8461,0.8478,0.8477,0.3251,0.4635,0.5918,0.6595,0.7314,0.7556,0.7769,0.7948,0.8047,0.8175,0.8282,0.8379,0.8327,0.842,0.849,0.8495,0.8544,0.846,0.8525,0.8612
cifar10,50,128,3,Noisy,results_20260102_030320\cifar10_e50_b128\summary.json,0.5948,0.3469,0.3489,0.4184,0.4641,0.4893,0.5004,0.5296,0.5487,0.5617,0.5515,0.5576,0.5693,0.5794,0.5776,0.5918,0.5823,0.5961,0.5895,0.5947,0.5955,0.5948,0.1674,0.2101,0.2436,0.2621,0.2746,0.2998,0.3061,0.3083,0.3201,0.3234,0.3221,0.3349,0.3357,0.3441,0.344,0.3464,0.3474,0.3477,0.3471,0.3469
cifar10,50,64,0,Original,results_20260102_013640\cifar10_e50_b64\summary.json,0.6357,0.7368,0.3711,0.4499,0.4936,0.52,0.5528,0.5615,0.5741,0.5825,0.5948,0.6062,0.6113,0.6218,0.6182,0.6192,0.6308,0.6281,0.6352,0.6341,0.6363,0.6357,0.3555,0.4777,0.5357,0.5705,0.5998,0.6058,0.6287,0.6499,0.6574,0.6642,0.6831,0.6879,0.6915,0.7123,0.7116,0.716,0.7068,0.7283,0.7371,0.7368
cifar10,50,64,1,Bottleneck,results_20260102_013640\cifar10_e50_b64\summary.json,0.5746,0.663,0.3332,0.4003,0.4394,0.4701,0.4924,0.4987,0.5054,0.5217,0.5337,0.5454,0.5448,0.5598,0.5641,0.5648,0.571,0.5655,0.5725,0.5713,0.5742,0.5746,0.3462,0.4067,0.466,0.4979,0.5247,0.5388,0.5422,0.5769,0.5818,0.5886,0.5928,0.6061,0.6234,0.6252,0.6357,0.6286,0.6436,0.6487,0.6531,0.663
cifar10,50,64,2,Deep,results_20260102_013640\cifar10_e50_b64\summary.json,0.8364,0.8588,0.2926,0.4626,0.6226,0.6236,0.6812,0.7002,0.7498,0.7779,0.7856,0.7978,0.8048,0.8142,0.8257,0.824,0.8275,0.83,0.8325,0.8343,0.8366,0.8364,0.3145,0.5025,0.6339,0.6568,0.7338,0.7648,0.7879,0.8042,0.8103,0.82,0.8276,0.8385,0.8374,0.8406,0.8444,0.843,0.841,0.8565,0.8504,0.8588
cifar10,50,64,3,Noisy,results_20260102_013640\cifar10_e50_b64\summary.json,0.6357,0.393,0.3711,0.4499,0.4936,0.52,0.5528,0.5615,0.5741,0.5825,0.5948,0.6062,0.6113,0.6218,0.6182,0.6192,0.6308,0.6281,0.6352,0.6341,0.6363,0.6357,0.1872,0.2222,0.261,0.2961,0.3084,0.3208,0.3083,0.3379,0.3355,0.3653,0.3474,0.3697,0.3676,0.3786,0.3884,0.3798,0.3819,0.3861,0.395,0.393
mnist,30,32,0,Original,results_20260102_010338\mnist_e30_b32\summary.json,0.9852,0.9841,0.9464,0.9629,0.9752,0.977,0.9801,0.9797,0.9818,0.981,0.9844,0.9838,0.9834,0.9837,0.984,0.984,0.9839,0.984,0.9844,0.9853,0.9851,0.9852,0.9581,0.9729,0.9779,0.9787,0.9821,0.9828,0.9818,0.9839,0.9827,0.9833,0.982,0.984,0.9845,0.9848,0.9828,0.9827,0.9859,0.9841,0.9848,0.9841
mnist,30,32,1,Bottleneck,results_20260102_010338\mnist_e30_b32\summary.json,0.9754,0.9799,0.9018,0.9386,0.9582,0.9595,0.9677,0.97,0.9716,0.9718,0.9725,0.9731,0.9745,0.9737,0.9754,0.9745,0.9741,0.9759,0.9752,0.9753,0.9757,0.9754,0.905,0.9364,0.9602,0.9669,0.969,0.9727,0.9742,0.9749,0.9751,0.9763,0.9779,0.9783,0.977,0.9776,0.9784,0.9771,0.9795,0.978,0.9792,0.9799
mnist,30,32,2,Deep,results_20260102_010338\mnist_e30_b32\summary.json,0.9802,0.9767,0.9204,0.9498,0.8091,0.9671,0.9633,0.9667,0.9725,0.9724,0.9726,0.9757,0.9775,0.9773,0.966,0.9795,0.9798,0.9807,0.9806,0.9804,0.9803,0.9802,0.9178,0.9395,0.9605,0.9563,0.9618,0.9705,0.9667,0.9674,0.9678,0.969,0.9723,0.9606,0.9744,0.9759,0.9749,0.9668,0.9691,0.9712,0.9708,0.9767
mnist,30,32,3,Noisy,results_20260102_010338\mnist_e30_b32\summary.json,0.9852,0.8562,0.9464,0.9629,0.9752,0.977,0.9801,0.9797,0.9818,0.981,0.9844,0.9838,0.9834,0.9837,0.984,0.984,0.9839,0.984,0.9844,0.9853,0.9851,0.9852,0.6354,0.7134,0.7923,0.8054,0.8323,0.8267,0.8465,0.8526,0.8521,0.8577,0.8555,0.8595,0.8623,0.8585,0.8583,0.8589,0.8572,0.8591,0.857,0.8562
cifar100,50,128,0,Original,results_20260101_232934\cifar100_e50_b128\summary.json,0.2616,0.4046,0.0686,0.1112,0.1498,0.1629,0.1942,0.1975,0.2106,0.2227,0.2329,0.2373,0.2445,0.2447,0.2488,0.2551,0.2601,0.259,0.259,0.2588,0.2619,0.2616,0.0676,0.1212,0.1655,0.1898,0.2278,0.2431,0.2677,0.2896,0.2956,0.3265,0.318,0.3514,0.3555,0.3613,0.3705,0.3753,0.3897,0.3905,0.3998,0.4046
cifar100,50,128,1,Bottleneck,results_20260101_232934\cifar100_e50_b128\summary.json,0.2045,0.2782,0.0467,0.0742,0.1071,0.1192,0.1404,0.1495,0.1603,0.1662,0.1761,0.1846,0.1917,0.1866,0.1965,0.1963,0.2017,0.2008,0.2047,0.2057,0.2048,0.2045,0.0366,0.0646,0.1131,0.142,0.1642,0.1779,0.1911,0.2056,0.2085,0.2176,0.2231,0.2354,0.2438,0.2476,0.2536,0.2602,0.2641,0.2655,0.2746,0.2782
cifar100,50,128,2,Deep,results_20260101_232934\cifar100_e50_b128\summary.json,0.507,0.5246,0.0304,0.1166,0.1952,0.2477,0.295,0.331,0.351,0.3988,0.4135,0.422,0.4477,0.4622,0.4744,0.486,0.4945,0.4979,0.4997,0.5045,0.5061,0.507,0.0384,0.1309,0.2248,0.2715,0.3239,0.3445,0.3775,0.4059,0.4345,0.4539,0.459,0.4653,0.4722,0.4864,0.497,0.5015,0.4976,0.5079,0.5144,0.5246
cifar100,50,128,3,Noisy,results_20260101_232934\cifar100_e50_b128\summary.json,0.2616,0.3211,0.0686,0.1112,0.1498,0.1629,0.1942,0.1975,0.2106,0.2227,0.2329,0.2373,0.2445,0.2447,0.2488,0.2551,0.2601,0.259,0.259,0.2588,0.2619,0.2616,0.0448,0.0853,0.128,0.1431,0.1698,0.1829,0.1932,0.2027,0.2194,0.2428,0.2459,0.2615,0.2654,0.2759,0.2894,0.297,0.2975,0.302,0.3129,0.3211
mnist,30,64,0,Original,results_20260101_205100\mnist_e30_b64\summary.json,0.9827,0.9849,0.9376,0.9536,0.9685,0.9742,0.9783,0.9772,0.9803,0.9818,0.9827,0.9822,0.9833,0.9827,0.984,0.9837,0.9834,0.9833,0.9832,0.9831,0.9828,0.9827,0.942,0.9673,0.9764,0.98,0.9811,0.982,0.9807,0.9844,0.9826,0.9835,0.9828,0.9834,0.9835,0.9832,0.9842,0.983,0.9852,0.984,0.985,0.9849
mnist,30,64,1,Bottleneck,results_20260101_205100\mnist_e30_b64\summary.json,0.9764,0.9794,0.8876,0.9269,0.9503,0.9569,0.9658,0.9699,0.9692,0.9733,0.9726,0.9737,0.9748,0.975,0.9761,0.9752,0.9758,0.9759,0.9761,0.9764,0.976,0.9764,0.8759,0.9249,0.9508,0.9567,0.9644,0.9675,0.9695,0.971,0.9732,0.9755,0.9753,0.9762,0.9764,0.9771,0.9781,0.9776,0.9786,0.9785,0.9779,0.9794
mnist,30,64,2,Deep,results_20260101_205100\mnist_e30_b64\summary.json,0.9793,0.9794,0.9057,0.9422,0.9532,0.9663,0.9676,0.9703,0.9716,0.9742,0.9769,0.9777,0.9799,0.9784,0.9773,0.9782,0.9782,0.9794,0.9781,0.9789,0.9796,0.9793,0.9014,0.9544,0.9641,0.9648,0.9703,0.9717,0.9718,0.9703,0.9734,0.9728,0.9766,0.9763,0.9671,0.9769,0.9759,0.9744,0.9747,0.9757,0.9791,0.9794
mnist,30,64,3,Noisy,results_20260101_205100\mnist_e30_b64\summary.json,0.9827,0.8531,0.9376,0.9536,0.9685,0.9742,0.9783,0.9772,0.9803,0.9818,0.9827,0.9822,0.9833,0.9827,0.984,0.9837,0.9834,0.9833,0.9832,0.9831,0.9828,0.9827,0.5986,0.6977,0.7502,0.7794,0.8049,0.8105,0.8283,0.8322,0.8404,0.8411,0.8416,0.8478,0.8524,0.8496,0.8541,0.8528,0.849,0.8531,0.8528,0.8531
mnist,30,128,0,Original,results_20260101_202800\mnist_e30_b128\summary.json,0.9832,0.985,0.9253,0.9449,0.9631,0.9666,0.9725,0.9763,0.9789,0.9792,0.9809,0.9802,0.9821,0.9822,0.9827,0.9821,0.9826,0.9824,0.983,0.9831,0.983,0.9832,0.9267,0.9562,0.9733,0.9749,0.9783,0.9814,0.9824,0.9826,0.983,0.9841,0.984,0.9828,0.9842,0.9845,0.9836,0.9842,0.9838,0.9842,0.9837,0.985
mnist,30,128,1,Bottleneck,results_20260101_202800\mnist_e30_b128\summary.json,0.9752,0.9783,0.7836,0.9033,0.9397,0.9487,0.9603,0.9639,0.9678,0.9687,0.9713,0.971,0.9716,0.9726,0.9737,0.9736,0.9738,0.9751,0.9747,0.9752,0.975,0.9752,0.8554,0.9113,0.9463,0.9525,0.9606,0.9633,0.9683,0.9698,0.972,0.9719,0.9755,0.9746,0.9747,0.9759,0.9771,0.9754,0.9771,0.9775,0.9774,0.9783
mnist,30,128,2,Deep,results_20260101_202800\mnist_e30_b128\summary.json,0.9743,0.973,0.9056,0.9245,0.9551,0.9518,0.9628,0.9579,0.9631,0.9685,0.9662,0.9736,0.9729,0.9735,0.9747,0.9741,0.9752,0.9747,0.9738,0.9753,0.9743,0.9743,0.674,0.9139,0.9455,0.9508,0.9624,0.9647,0.9656,0.9682,0.9685,0.9686,0.9728,0.9726,0.9555,0.9641,0.9707,0.9719,0.9568,0.9648,0.9728,0.973
mnist,30,128,3,Noisy,results_20260101_202800\mnist_e30_b128\summary.json,0.9832,0.8332,0.9253,0.9449,0.9631,0.9666,0.9725,0.9763,0.9789,0.9792,0.9809,0.9802,0.9821,0.9822,0.9827,0.9821,0.9826,0.9824,0.983,0.9831,0.983,0.9832,0.4845,0.6668,0.7173,0.7228,0.7534,0.7741,0.7953,0.7951,0.8152,0.81,0.824,0.8237,0.8289,0.8304,0.832,0.8332,0.8333,0.8323,0.833,0.8332
